client_orderid,client_custid,client_prodid,cases_ordered,units_ordered,cases_inven,units_inven,discount,discount_flag
20353,7,127,1,0,0,0,0,0
20411,7,127,0,0,0,0,0,0
20411,7,130,0,0,0,0,0,0
20353,7,130,2,0,0,0,0,0
20411,7,131,0,0,0,0,0,0
20353,7,131,20,0,0,0,0,0
20353,7,135,1,0,0,0,0,0
20411,7,135,1,0,0,0,0,0
20411,7,137,1,0,0,0,0,0
20353,7,137,0,0,0,0,0,0
20353,7,160,1,0,0,0,0,0
20411,7,160,1,0,0,0,0,0
20353,7,209,1,0,0,0,0,0
20411,7,209,10,0,0,0,0,0
20411,7,524,0,0,0,0,0,0
20353,7,524,1,0,0,0,0,0
20353,7,1316,1,0,0,0,0,0
20411,7,1316,1,0,0,0,0,0
11221,4,687,2,0,0,0,0,0
11221,4,1377,0,0,0,0,0,0
11197,4,245,1,0,0,0,0,0
